560.63	611.17	534.21	653.84	549.25	591.31	590.24	562.46	94.969	90.506	92.5	87.179	95.541	92.357	100	92.5	1.5	6.6667
471.74	496.76	544.09	590.58	465.51	484.97	467.31	445.83	99.371	90	94.872	90	99.375	96.203	95	97.5	0.5	0.83333
430.57	464.63	478.52	489.62	375.12	398.64	432.17	427.96	98.125	96.226	95	85	98.734	98.75	100	97.436	0.625	0
445.46	490.73	454.73	480.57	431.82	463.5	436.71	460.66	98.75	93.125	97.5	95	100	98.089	97.436	92.308	1.375	5
529.46	558.71	562.15	599.41	518.26	550.1	500.96	561.88	86.164	88.679	89.744	82.5	86.875	85.161	82.051	75	1.125	2.5
456.15	504.42	455.38	563.26	378.73	431.78	367.67	439.53	96.875	90.566	94.872	90	98.101	95.57	100	97.436	1	3.3333
367.93	378.12	384.52	409.82	363.24	379.04	370.59	370.04	99.375	100	100	97.5	100	100	100	100	0.25	0
506.24	538.86	536.16	525.6	427.8	457.66	389.72	438.65	94.34	83.125	92.5	82.5	98.726	93.671	100	92.105	1	10
428.81	432.72	460.5	509.47	393.64	435.74	424.09	408.19	98.742	96.875	90	95	100	98.113	97.5	100	0.375	0.83333
440.98	474.45	485.59	534.71	420.87	513.95	400.28	482.93	94.937	94.969	97.5	87.5	100	96.753	100	100	2	2.5
439.2	490.58	498.39	491.61	423.7	452.42	431.69	458.28	98.125	96.226	97.5	95	98.101	97.436	97.436	95	1	2.5
442.3	437.74	442.75	459.99	426.27	443.63	430.06	434.79	98.039	94.595	100	97.5	98.077	97.468	100	97.5	3.5	2.5
386.25	417.41	451.11	488.77	379.28	404.23	388.88	405.5	100	96.25	100	90	99.346	98.039	97.436	97.436	2	10
430.56	473.93	444.51	507.8	402.24	428.54	400.04	433	99.367	94.304	97.368	97.5	97.987	95.973	100	89.474	4	12.5
520.63	548.1	554.3	621.83	456.34	494.97	452.6	483.46	96.875	91.25	100	92.5	98.75	97.468	97.5	97.5	0.375	0
405.42	448.49	481.44	504.42	373.41	407.92	383.25	418.96	99.375	99.375	97.5	97.5	99.375	99.371	100	100	0.375	2.5
479.41	506.69	516.67	502.72	410.9	451.54	381.55	395.73	96.154	97.452	100	97.5	99.363	98.077	100	97.368	2.125	4.1667
539.04	585.23	604.45	578	499.9	506.87	458.81	484.12	82.051	83.117	92.5	85	89.172	83.544	89.744	87.5	2	6.6667
435.92	455.69	417.86	494.67	380.6	400.64	420.29	396.74	94.969	93.75	97.5	97.5	98.742	97.484	92.308	94.737	0.75	3.3333
557.78	608	542.17	643.78	556.39	588.23	502.9	476.32	87.582	79.618	80	84.211	89.474	81.046	85.714	83.333	4.5	7.5
515.41	560.44	546.79	571.52	507.98	539.21	511.86	544.7	91.72	90.909	90	90	97.386	96.774	90	91.892	3	4.1667
